text,label
Such a bad.,-0.75
What a great.,0.94
Today is disappointing.,-0.93
Today is great.,0.82
What a terrible.,-0.83
Today is frustrating.,-0.88
Everything is fantastic.,0.82
I'm having a wonderful.,0.94
It's just a walk.,0.15
It's just a normal day.,-0.05
What a wonderful.,0.72
It's just an average day.,0.19
It's just a walk.,-0.12
There was a normal day.,0.04
What a disappointing.,-0.88
This is horrible.,-0.98
It is a normal day.,0.09
I'm having a fantastic.,0.78
What a lovely.,0.87
What a disappointing.,-0.96
I saw a walk.,0.2
It's just nothing new.,-0.02
Today is wonderful.,0.73
I feel horrible.,-0.75
I saw nothing new.,0.11
It is an average day.,-0.02
Completely bad.,-0.78
Today is great.,0.98
Everything is joyful.,0.74
Such a frustrating.,-0.95
It's just nothing new.,0.09
It's just a normal day.,-0.07
There was a walk.,0.08
Today is lovely.,0.75
What a terrible.,-0.93
I went to the store.,0.06
I saw lunch.,-0.13
Today is horrible.,-0.92
Today is amazing.,0.8
I went to the store.,-0.13
It is lunch.,-0.02
Completely horrible.,-0.88
Such a bad.,-0.89
There was a walk.,-0.13
Life is joyful.,0.93
Such a disappointing.,-0.93
I had an average day.,0.15
I feel awful.,-0.94
This is awful.,-0.76
I went to a walk.,-0.04
What a great.,0.93
I feel fantastic.,0.76
It's just a normal day.,-0.12
It's just an average day.,0.12
I went to a normal day.,0.16
Everything is fantastic.,0.82
What a fantastic.,0.8
I saw lunch.,-0.02
I had an average day.,0.03
Completely bad.,-0.73
Everything is perfect.,0.96
What a awful.,-0.77
It is a walk.,-0.0
It's just a normal day.,0.11
It's just a normal day.,-0.05
There was nothing new.,0.15
I had nothing new.,-0.19
Completely disappointing.,-0.83
I'm having a joyful.,0.92
Today is bad.,-0.87
What a wonderful.,0.98
It is the store.,0.1
What a disappointing.,-0.79
I feel joyful.,0.71
I went to an average day.,-0.05
Today is disappointing.,-0.72
There was lunch.,-0.14
I went to a walk.,0.06
What a wonderful.,0.96
I had an average day.,0.1
It's just lunch.,-0.06
I'm having a fantastic.,0.94
I went to lunch.,-0.1
I saw nothing new.,0.02
Everything is great.,0.95
I'm having a perfect.,0.81
Today is frustrating.,-0.96
I feel joyful.,0.83
This is horrible.,-0.7
This is disappointing.,-0.79
I feel bad.,-0.75
Everything is wonderful.,0.82
Today is fantastic.,0.79
I feel disappointing.,-0.71
Everything is lovely.,0.72
I went to lunch.,0.15
I feel awful.,-0.78
I went to nothing new.,0.09
What a bad.,-0.92
Completely horrible.,-0.91
Today is perfect.,0.87
I feel bad.,-0.9
I feel lovely.,0.93
This is horrible.,-0.8
Everything is perfect.,0.89
Today is perfect.,0.8
Life is fantastic.,0.97
I went to an average day.,0.13
Such a terrible.,-0.95
What a frustrating.,-0.72
Today is wonderful.,0.71
Everything is fantastic.,0.92
I saw the store.,0.15
It is lunch.,0.17
Completely horrible.,-0.78
I went to an average day.,-0.18
Completely terrible.,-0.76
I went to nothing new.,0.05
I feel joyful.,0.75
I had a normal day.,-0.03
Today is wonderful.,0.93
It is an average day.,0.17
I feel frustrating.,-0.86
What a joyful.,0.89
This is bad.,-0.92
Life is perfect.,0.9
Today is disappointing.,-0.84
Such a awful.,-0.96
I went to lunch.,0.05
Life is joyful.,0.81
I feel lovely.,0.77
Today is frustrating.,-0.88
Everything is great.,0.82
Life is joyful.,0.71
Today is amazing.,0.74
What a horrible.,-0.93
I feel horrible.,-0.72
Completely horrible.,-1.0
Today is terrible.,-0.94
I feel horrible.,-0.92
I went to lunch.,-0.03
Completely horrible.,-0.86
This is terrible.,-0.81
There was lunch.,-0.19
It is a walk.,0.03
Completely awful.,-0.77
It's just an average day.,-0.04
Such a awful.,-0.94
I went to a normal day.,-0.17
I had an average day.,-0.13
Everything is joyful.,0.84
It is a normal day.,-0.14
It is a walk.,-0.02
Everything is fantastic.,0.83
What a awful.,-0.98
There was a walk.,-0.18
There was a normal day.,-0.18
Such a awful.,-0.74
I had the store.,-0.11
I feel bad.,-0.97
Today is frustrating.,-0.88
I went to an average day.,-0.08
I saw nothing new.,-0.06
This is bad.,-0.85
Such a bad.,-0.85
I feel amazing.,0.85
Life is wonderful.,0.83
Such a frustrating.,-0.87
Today is fantastic.,0.98
It's just an average day.,0.14
Life is wonderful.,0.9
Completely disappointing.,-0.77
Completely horrible.,-0.84
Completely horrible.,-0.84
Today is lovely.,0.79
There was lunch.,0.16
I'm having a wonderful.,0.9
Life is joyful.,0.82
I saw a normal day.,0.18
Today is perfect.,0.97
Completely horrible.,-0.75
I feel amazing.,0.99
Completely disappointing.,-0.99
Today is frustrating.,-0.74
Life is joyful.,0.83
I feel disappointing.,-0.94
This is disappointing.,-0.95
There was a walk.,0.15
There was lunch.,-0.03
Such a disappointing.,-0.79
Completely bad.,-0.73
What a terrible.,-0.94
What a frustrating.,-0.84
This is horrible.,-0.97
What a joyful.,0.94
It's just an average day.,-0.13
I'm having a wonderful.,0.78
There was an average day.,-0.04
It is lunch.,-0.18
What a awful.,-0.89
I feel frustrating.,-0.74
Today is horrible.,-0.86
What a bad.,-0.92
What a wonderful.,0.96
I saw lunch.,-0.17
I saw a walk.,-0.15
It is a walk.,0.07
I went to an average day.,0.09
What a horrible.,-0.89
It is lunch.,0.18
I feel horrible.,-0.9
Life is lovely.,0.71
This is horrible.,-0.89
Life is lovely.,0.93
Today is wonderful.,1.0
It is lunch.,-0.02
I had a walk.,0.05
This is frustrating.,-0.72
What a disappointing.,-0.92
What a great.,0.75
Completely disappointing.,-0.79
Everything is amazing.,0.94
I had nothing new.,-0.0
I feel perfect.,0.85
I went to the store.,-0.01
I saw lunch.,-0.09
I went to the store.,-0.19
I went to nothing new.,0.05
I feel amazing.,0.97
Life is fantastic.,0.88
Today is perfect.,0.99
What a joyful.,0.95
Today is terrible.,-0.7
It is the store.,0.19
It is an average day.,0.03
It's just a walk.,0.12
Everything is joyful.,0.75
This is frustrating.,-0.87
Everything is great.,0.85
There was nothing new.,0.17
Such a frustrating.,-0.98
I feel wonderful.,0.96
I feel awful.,-0.73
It is a normal day.,0.13
What a joyful.,0.82
What a horrible.,-0.9
Such a awful.,-0.72
Such a terrible.,-0.97
Everything is joyful.,0.77
Today is lovely.,0.82
I had nothing new.,0.05
Completely bad.,-0.82
I'm having a perfect.,0.81
There was nothing new.,-0.01
I saw lunch.,-0.04
I had nothing new.,0.02
Completely frustrating.,-0.73
It's just nothing new.,0.01
I saw a walk.,-0.19
I feel horrible.,-0.76
I had the store.,-0.07
I had a normal day.,-0.17
Today is wonderful.,0.96
This is awful.,-0.75
Completely bad.,-0.78
Completely frustrating.,-0.9
It's just a normal day.,-0.2
I feel perfect.,0.94
Today is fantastic.,0.98
I went to the store.,-0.18
Today is perfect.,0.77
What a perfect.,0.84
There was nothing new.,0.05
Everything is wonderful.,0.81
I went to nothing new.,0.14
I feel horrible.,-0.95
Today is fantastic.,0.98
Today is bad.,-0.77
I'm having a fantastic.,0.85
It is an average day.,0.14
Such a bad.,-0.93
Today is great.,0.8
Such a horrible.,-0.92
I feel disappointing.,-0.93
Everything is amazing.,0.99
It's just the store.,0.17
There was the store.,0.18
I feel frustrating.,-0.78
I'm having a great.,0.85
It is a walk.,0.05
I feel wonderful.,0.73
I went to a normal day.,-0.01
I had a walk.,0.08
It is the store.,0.01
I'm having a wonderful.,0.76
There was a walk.,0.11
Completely bad.,-0.85
Today is perfect.,0.93
I went to the store.,-0.14
There was a walk.,-0.08
I saw the store.,0.17
There was the store.,-0.03
I'm having a amazing.,0.88
This is bad.,-0.94
It's just a normal day.,0.13
Completely terrible.,-0.75
What a disappointing.,-0.97
I went to a walk.,-0.1
Today is frustrating.,-0.96
I feel awful.,-0.95
It's just nothing new.,0.09
It's just a walk.,0.06
I feel frustrating.,-0.99
Such a terrible.,-0.94
What a joyful.,0.92
I went to lunch.,-0.07
What a joyful.,0.86
I feel frustrating.,-0.97
What a fantastic.,0.77
Life is fantastic.,0.71
I went to nothing new.,-0.06
Today is horrible.,-0.94
It is lunch.,0.14
There was a walk.,0.11
This is awful.,-0.71
What a lovely.,0.73
I had lunch.,-0.16
Today is fantastic.,0.78
This is frustrating.,-0.85
I feel bad.,-0.98
What a joyful.,0.8
I had a walk.,-0.16
Life is perfect.,0.89
It is a normal day.,-0.19
I feel frustrating.,-0.94
I had a normal day.,-0.0
It is lunch.,0.17
I had the store.,-0.11
Everything is fantastic.,0.96
What a lovely.,0.77
Life is joyful.,0.78
Life is joyful.,0.86
Today is terrible.,-0.72
Today is perfect.,0.75
I had lunch.,-0.02
Such a disappointing.,-0.8
Everything is lovely.,0.85
This is horrible.,-0.86
I feel awful.,-0.93
This is bad.,-0.82
I feel frustrating.,-0.94
I feel joyful.,0.81
It's just a walk.,0.02
Life is fantastic.,0.93
There was an average day.,0.12
I'm having a lovely.,0.77
I went to a walk.,0.1
Life is perfect.,1.0
It's just a normal day.,0.15
It's just a walk.,-0.19
What a bad.,-0.87
I feel lovely.,0.93
What a disappointing.,-0.85
Such a bad.,-0.79
I went to a walk.,0.1
What a wonderful.,0.78
I feel horrible.,-0.8
There was a walk.,0.15
I had the store.,-0.07
I had a walk.,-0.2
What a fantastic.,0.73
This is frustrating.,-0.93
Life is fantastic.,0.81
It's just the store.,0.16
I saw a normal day.,0.05
It's just lunch.,-0.15
This is horrible.,-0.96
Everything is perfect.,0.97
It is the store.,-0.04
Everything is amazing.,0.81
It's just nothing new.,-0.09
Life is fantastic.,0.79
It's just a normal day.,0.14
I saw the store.,-0.15
It's just an average day.,0.17
I had a walk.,-0.03
Today is frustrating.,-0.72
Such a horrible.,-0.8
There was lunch.,-0.02
I saw nothing new.,0.14
I went to nothing new.,-0.2
What a lovely.,0.86
It's just a normal day.,-0.12
I went to nothing new.,0.0
There was lunch.,-0.13
Today is bad.,-0.95
Such a disappointing.,-0.99
I saw nothing new.,0.1
I saw the store.,-0.0
What a fantastic.,0.74
I'm having a joyful.,0.84
I went to an average day.,0.05
What a perfect.,0.78
I'm having a fantastic.,0.97
There was the store.,0.07
Such a bad.,-0.88
Today is joyful.,0.85
Today is fantastic.,0.8
What a terrible.,-0.92
I went to lunch.,-0.09
I saw nothing new.,-0.04
It's just an average day.,0.14
I went to a normal day.,0.18
I feel awful.,-0.81
I had a walk.,-0.15
Life is wonderful.,0.72
There was an average day.,0.11
It's just the store.,-0.1
Such a terrible.,-0.93
What a lovely.,0.8
Completely awful.,-0.94
I feel joyful.,0.91
It is nothing new.,-0.11
It is a normal day.,0.09
Today is frustrating.,-0.73
I feel bad.,-0.83
Everything is wonderful.,0.89
It's just nothing new.,-0.16
It is an average day.,-0.15
I had a walk.,0.01
It's just an average day.,0.17
Today is frustrating.,-0.87
I had nothing new.,0.01
It's just a walk.,-0.14
There was the store.,-0.12
There was lunch.,0.03
What a disappointing.,-0.84
It's just a walk.,0.12
It's just lunch.,-0.07
I feel frustrating.,-0.79
I saw lunch.,-0.11
I feel bad.,-0.8
What a frustrating.,-0.81
What a joyful.,0.98
I went to nothing new.,0.16
I saw a normal day.,-0.02
I saw lunch.,-0.16
It's just a normal day.,0.2
I went to a normal day.,0.16
I went to lunch.,0.19
Everything is joyful.,0.77
I saw an average day.,-0.16
I feel disappointing.,-0.77
What a amazing.,0.87
I feel joyful.,0.94
Everything is fantastic.,0.78
I went to a walk.,0.04
What a frustrating.,-0.7
It's just lunch.,0.02
Such a frustrating.,-0.7
Such a disappointing.,-0.87
Today is frustrating.,-0.81
Today is great.,0.97
I saw nothing new.,0.07
It is a walk.,0.19
I'm having a joyful.,0.9
Everything is wonderful.,0.75
I had lunch.,-0.18
Life is joyful.,0.72
There was a normal day.,0.11
There was an average day.,0.0
I feel amazing.,0.95
It's just a normal day.,-0.2
Today is amazing.,0.75
I went to lunch.,-0.19
There was lunch.,-0.09
What a terrible.,-0.98
I feel perfect.,0.73
I feel lovely.,0.77
Today is horrible.,-0.85
I went to lunch.,-0.19
Completely awful.,-0.7
Completely terrible.,-0.91
I went to an average day.,0.03
Today is amazing.,0.87
I went to an average day.,0.07
Such a terrible.,-0.93
It is a walk.,0.12
I'm having a wonderful.,0.89
There was lunch.,0.02
Life is amazing.,0.87
I'm having a perfect.,0.94
I went to lunch.,-0.14
What a lovely.,0.89
Today is perfect.,0.78
It is nothing new.,0.0
Life is perfect.,0.77
There was lunch.,-0.08
I'm having a joyful.,0.7
I'm having a joyful.,0.76
This is disappointing.,-0.97
Everything is wonderful.,0.87
There was the store.,-0.18
Everything is perfect.,0.88
I'm having a amazing.,0.87
I had the store.,-0.01
It's just an average day.,0.07
Life is great.,0.92
I'm having a wonderful.,0.98
Such a disappointing.,-0.79
I feel perfect.,0.98
I feel horrible.,-0.87
I feel horrible.,-0.96
I'm having a wonderful.,0.85
Today is amazing.,0.8
It's just an average day.,-0.1
I saw a walk.,0.11
Everything is amazing.,0.83
It's just lunch.,-0.06
Life is amazing.,0.99
Such a awful.,-0.88
Today is lovely.,0.93
Today is lovely.,0.78
It's just a walk.,0.11
I went to nothing new.,-0.09
Completely terrible.,-0.99
What a perfect.,0.94
I went to an average day.,0.07
It is lunch.,0.05
Completely bad.,-0.87
Completely terrible.,-0.99
I feel horrible.,-0.84
It is the store.,-0.08
Completely terrible.,-0.72
I had nothing new.,-0.0
It is an average day.,0.04
Life is joyful.,0.89
It is the store.,-0.13
I saw lunch.,-0.01
Life is great.,0.87
Today is bad.,-0.86
What a amazing.,0.97
What a frustrating.,-0.79
What a perfect.,0.88
What a disappointing.,-0.87
I'm having a lovely.,0.88
I had lunch.,-0.18
Completely awful.,-0.77
I had a normal day.,0.12
What a lovely.,0.92
It's just an average day.,-0.11
This is disappointing.,-0.99
This is frustrating.,-0.89
Today is lovely.,0.71
Everything is joyful.,0.99
Everything is wonderful.,0.98
I went to an average day.,0.15
I'm having a joyful.,0.95
It is lunch.,-0.03
I feel amazing.,0.94
This is terrible.,-0.89
I'm having a lovely.,0.75
What a disappointing.,-0.75
Completely terrible.,-0.98
It is lunch.,-0.01
Today is frustrating.,-0.74
I saw lunch.,0.12
I had a walk.,0.19
I had a normal day.,-0.09
Today is bad.,-0.76
What a wonderful.,0.84
I'm having a fantastic.,0.87
Such a bad.,-0.97
I feel frustrating.,-0.72
Today is horrible.,-0.82
I saw an average day.,0.0
This is disappointing.,-0.82
Everything is perfect.,0.97
Today is terrible.,-0.98
I went to lunch.,-0.02
What a awful.,-0.76
I feel awful.,-0.79
There was the store.,-0.06
Everything is lovely.,0.84
There was an average day.,0.03
Completely awful.,-0.94
I had the store.,-0.18
I went to lunch.,-0.12
Everything is great.,0.99
There was the store.,-0.17
Today is great.,0.79
I had a normal day.,-0.08
There was the store.,-0.04
Today is disappointing.,-0.89
Today is amazing.,0.98
What a amazing.,0.73
It's just a walk.,-0.01
It's just nothing new.,-0.09
This is bad.,-0.7
This is terrible.,-0.84
Completely horrible.,-0.97
I'm having a great.,0.97
I saw nothing new.,0.18
What a horrible.,-0.79
I feel horrible.,-0.81
What a frustrating.,-0.78
I had a normal day.,-0.01
Such a frustrating.,-0.98
Completely awful.,-0.88
Completely horrible.,-0.89
Today is fantastic.,0.74
What a horrible.,-0.73
I feel fantastic.,0.91
Life is wonderful.,0.99
I feel frustrating.,-0.99
I feel lovely.,0.79
Today is joyful.,0.7
I had the store.,-0.17
I had the store.,0.1
Such a terrible.,-0.72
It's just nothing new.,0.05
I went to an average day.,0.07
I feel bad.,-0.85
I had nothing new.,-0.18
I saw a normal day.,-0.01
What a terrible.,-0.91
I had lunch.,-0.13
This is disappointing.,-0.94
I'm having a great.,0.9
It is lunch.,0.03
Life is joyful.,0.93
I'm having a amazing.,0.98
I feel awful.,-0.98
What a awful.,-0.82
It is a walk.,-0.07
I saw a normal day.,0.09
It is nothing new.,-0.08
Today is horrible.,-0.97
It is nothing new.,0.13
I saw a normal day.,-0.1
It is nothing new.,0.18
What a lovely.,0.96
I had a normal day.,0.07
This is awful.,-0.76
I went to the store.,0.18
I had the store.,-0.06
It's just an average day.,0.09
What a awful.,-0.82
I had lunch.,-0.14
I feel horrible.,-0.97
I feel perfect.,0.92
Completely terrible.,-0.75
I feel bad.,-0.96
I feel awful.,-0.9
I saw a walk.,-0.06
It is an average day.,0.04
There was lunch.,0.01
Today is wonderful.,0.83
Everything is wonderful.,0.77
This is frustrating.,-1.0
I feel great.,0.81
What a amazing.,0.8
I feel horrible.,-0.84
It's just a walk.,-0.09
This is bad.,-0.95
Everything is great.,0.93
It is a normal day.,0.12
Today is perfect.,0.98
Such a awful.,-0.83
It's just an average day.,0.15
I feel fantastic.,0.74
Today is fantastic.,0.86
Everything is lovely.,0.99
I'm having a wonderful.,0.79
I had an average day.,-0.13
It is a walk.,-0.2
I'm having a wonderful.,0.78
I saw lunch.,-0.14
Life is amazing.,0.71
There was the store.,0.15
This is disappointing.,-0.83
I went to nothing new.,-0.15
It is lunch.,-0.0
This is bad.,-0.71
It is lunch.,0.17
I'm having a fantastic.,0.79
It's just a walk.,0.11
It is a walk.,-0.17
I had a walk.,0.06
Everything is wonderful.,0.98
I'm having a fantastic.,0.91
Today is joyful.,0.86
I'm having a lovely.,0.83
I went to a walk.,0.09
This is terrible.,-0.87
I feel awful.,-0.78
Life is perfect.,0.73
There was a normal day.,0.08
Life is great.,0.76
What a fantastic.,0.71
What a horrible.,-0.85
Everything is great.,0.74
Today is frustrating.,-0.95
This is frustrating.,-0.82
What a terrible.,-0.73
There was the store.,0.17
This is disappointing.,-0.93
Everything is amazing.,0.93
Today is bad.,-0.85
I had nothing new.,-0.17
Such a frustrating.,-0.92
Everything is wonderful.,0.96
There was a normal day.,0.01
What a bad.,-0.92
I feel disappointing.,-0.98
I went to an average day.,-0.05
I feel disappointing.,-0.84
There was the store.,-0.03
Life is wonderful.,0.73
Today is wonderful.,0.91
I feel bad.,-0.76
Everything is perfect.,0.74
It's just an average day.,-0.14
I saw the store.,0.0
I had a walk.,0.04
It is an average day.,-0.08
I'm having a wonderful.,0.82
It's just nothing new.,-0.2
Life is joyful.,0.84
I saw an average day.,-0.14
Today is joyful.,0.91
Everything is great.,0.97
Today is awful.,-0.75
I feel joyful.,0.83
I saw nothing new.,-0.14
It's just nothing new.,-0.16
Life is amazing.,0.96
Completely frustrating.,-0.98
Today is horrible.,-0.9
I had lunch.,-0.18
Life is wonderful.,0.9
Today is horrible.,-0.75
What a horrible.,-0.78
I went to nothing new.,0.06
This is bad.,-0.97
It is the store.,0.02
This is disappointing.,-0.84
I saw nothing new.,-0.03
What a amazing.,0.76
What a great.,0.86
I feel frustrating.,-0.99
Today is disappointing.,-0.71
I saw the store.,0.12
What a horrible.,-0.72
It's just an average day.,-0.08
It's just a walk.,-0.12
I had the store.,-0.11
I'm having a fantastic.,0.77
I saw the store.,-0.2
Today is horrible.,-0.89
Today is joyful.,0.82
Life is great.,0.99
There was a walk.,-0.06
I had lunch.,-0.18
It's just the store.,0.03
What a great.,0.9
It's just nothing new.,-0.07
It's just nothing new.,-0.11
Today is bad.,-0.8
Today is perfect.,0.94
Today is amazing.,0.86
I'm having a lovely.,0.77
I had an average day.,0.04
It's just lunch.,0.19
Today is horrible.,-0.78
Such a horrible.,-0.9
This is awful.,-0.87
I saw nothing new.,-0.13
I feel joyful.,0.93
I feel joyful.,0.96
This is horrible.,-0.76
What a bad.,-0.71
Such a terrible.,-0.75
It is lunch.,0.06
It is nothing new.,-0.1
I went to a normal day.,-0.0
I feel joyful.,0.85
I had the store.,-0.06
It is an average day.,-0.1
I went to a normal day.,-0.17
I feel joyful.,0.98
What a terrible.,-0.86
I feel lovely.,0.82
It's just nothing new.,-0.05
I'm having a perfect.,0.82
I had a walk.,-0.13
I saw a normal day.,-0.13
I saw a normal day.,0.2
I saw an average day.,-0.19
It's just lunch.,0.04
Completely horrible.,-0.85
I feel bad.,-0.9
I went to a normal day.,-0.06
This is disappointing.,-0.81
I had nothing new.,-0.13
Today is wonderful.,0.79
What a horrible.,-0.88
Such a terrible.,-0.9
I went to nothing new.,-0.05
There was an average day.,-0.11
Life is fantastic.,0.72
I went to an average day.,-0.04
What a amazing.,0.81
What a disappointing.,-0.97
There was an average day.,-0.1
I had a walk.,-0.14
It is the store.,0.11
I feel fantastic.,0.94
Everything is amazing.,0.76
It is nothing new.,-0.06
Today is joyful.,0.94
I had nothing new.,0.13
I'm having a perfect.,0.79
It's just a normal day.,0.19
Such a frustrating.,-0.88
I had a normal day.,-0.15
Life is lovely.,0.85
I saw nothing new.,0.1
What a great.,0.86
What a perfect.,0.95
There was the store.,0.02
There was an average day.,0.05
Everything is great.,0.9
Today is fantastic.,0.93
What a horrible.,-0.9
It's just a walk.,0.15
Life is perfect.,0.84
Such a disappointing.,-0.81
It is a walk.,-0.14
What a perfect.,0.86
This is frustrating.,-0.85
Today is horrible.,-0.78
I feel frustrating.,-0.99
Completely awful.,-0.99
Today is bad.,-0.89
There was nothing new.,0.09
Everything is great.,0.82
I feel great.,0.77
Today is joyful.,0.94
It is the store.,-0.15
Today is joyful.,0.87
I feel joyful.,0.81
Everything is amazing.,0.73
Such a bad.,-0.77
What a awful.,-0.92
It's just the store.,0.03
I saw nothing new.,-0.13
It's just nothing new.,0.12
It's just lunch.,-0.15
I went to lunch.,-0.1
There was a normal day.,0.16
I went to nothing new.,-0.14
I feel fantastic.,0.97
There was a walk.,0.04
Such a disappointing.,-0.99
I feel bad.,-0.77
I went to a walk.,0.04
I feel awful.,-0.96
This is terrible.,-0.77
I went to the store.,-0.0
What a joyful.,0.8
I feel terrible.,-0.78
Such a bad.,-0.98
This is bad.,-0.74
This is horrible.,-0.73
I'm having a amazing.,0.8
It is a normal day.,-0.16
Today is frustrating.,-0.85
I went to lunch.,0.2
Completely frustrating.,-0.86
This is bad.,-0.76
I had lunch.,0.19
There was a normal day.,0.16
It's just a normal day.,0.03
Life is perfect.,0.97
I feel frustrating.,-0.93
Today is amazing.,1.0
It's just a normal day.,0.17
This is disappointing.,-0.91
Everything is amazing.,0.84
Completely disappointing.,-0.9
I saw a normal day.,-0.03
Life is amazing.,1.0
I saw nothing new.,0.08
It's just a normal day.,-0.17
I saw the store.,-0.16
There was nothing new.,-0.14
There was a walk.,-0.04
There was an average day.,0.07
I went to a walk.,-0.15
I had an average day.,0.03
It is an average day.,0.08
There was nothing new.,0.02
There was a walk.,-0.13
What a amazing.,0.72
Everything is joyful.,0.9
What a lovely.,0.92
I went to a normal day.,0.08
It's just the store.,-0.02
Life is amazing.,0.78
Life is lovely.,0.84
